,Name,Comment
108,Spread to the world,"I wish you to know how valuable it is for Americans to be a country full of love and freedom. Don't lose to the sneaky CCP control used media, rotten politician like Biden, used human rights problem it is the most weak point for Americans under the black negative campaign. Also the evil uses media they own to shake your heart that you feel more attractive to you. Be careful and don't be fooled. The god gave you the light and point this darkness to save you from this darkness and you should save your America for your family, friends and for your future. Please be stronger to what you should be. You have love and power to finish the darkness, there is no happiness that will not come true. Just you need to show your love and action to get the help from the god. Hate brings you darkness too, follow the light you can see and finish the darkness to save your America with your love and rights. Lights, love, both you have in your heart. From your Japanese friend walking together on the same road with you."
109,Mila Martinez,"NOW TODAY TOMOROW AND FOR EVER 
TRUMP 2020"
110,Thomas Evans,"For everyone you see, they have 9 Trump supporters that you don't see, all race,nationality and religion 🤔"
111,Courtland Jewels,sorry that girl In the polka dot dress is more than a bit distracting!! She thinks she's the focus...no? I'd like to concentrate on Mr. Prez!
112,A1Cvenom,Trump has done more rallies this week than Joe did all cycle.
113,M,"MAGA 2020 - LOTS OF LOVE AND RESPECT FROM ENGLAND. 
WISH WE HAD HIM AS OUR LEADER. HE IS THE SAVIOUR OF THE WEST."
114,my God is great,"Greatest President, ever ., so loved and respected by patriotic Americans, GOD BLESS PRESIDENT TRUMP &PENCE AND HIS GOVERNMENT 🇺🇲❤🗽🏛🕊🙏🏻👮🏽‍♂️👼🏽🇺🇲❤"
115,MrJamers007,"Don't give China our food until they PAY for what they did,"
116,Nguyen Nguyen,"When i see President and first Lady step on stage while the crowd applauded and music with song God bless USA...I have feeling so great ,great! i proud i am an American...."
117,Trina LovesQQPlus1745,America will never be a socialist Country!
118,Marilyn Rainville,Trump is going to take this election hands down. ❤️❤️❤️ God is with us.
119,Sean Cautela,Trump 2020! You inspired me into politics! When Obama was around I didn’t give a dam about politics now I do! Greatest president in my entire life without a shadow of a doubt!
120,Michael Harness,Doesn’t Trump understand that his supporters favorite music is country. Not Elton John and queen.
121,Michael Harness,Definitely log cabin republicans choosing the music for Trump rallies. Lol. Lots of queen and Elton John. Also heard some Michael Jackson. Wonder what those crazy Qanon people think about that.
122,Catherine Southworth,"President Trump, thank You. God Bless you and yours!!!"
123,Toto Mango,"BIDEN JUST NOW IN TAMPA:  ""We will put in plan a place....""

Wow, now he just said Trump refuses to denounce white supremacy...sigh. His audience is not keeping up with current events."
124,A H,"That set list is gold.

Let’s go, TRUMP!👊"
125,RJ Acosta,"God bless the USA, God bless President Donald J Trump,  First Lady Melania, Family, and Staff."
126,Virginia Conway,Look at how many young people! They know what is going on & they want a future.
127,Michelle Campbell,My husband and I voted for you yesterday here in Florida.
128,samuel licea,4 more years!! Coming from California La from the Latinos!!
129,Alfonso Rivera,"PRAYER OF PROTECCION FOR OUR MR. PRESIDENT DONALD TRUMP!!🕯🕯

Thank you Divine Father, because you are the way, the truth and the life, as well as the light of the world."
130,Kailash Singh,"An astrologer has just predicted that Trump will win the election with a margin of  minimum 400,000 to max 900,000 votes."
131,Andrew A,"He's even funnier than usual when he's self-effacing. I just  love this man, and I'm praying for him!"
132,M M,Did you guys see that intro? And you're going to tell me that Joe Biden's ahead or he's going to win? Are you kidding me? Who do the left-wing nut Medias in communist Marxist think the American people are? They must really think so low of us as to continue that idea that Biden's ahead. I'll is there planning fraud that's the only way I can understand this. Otherwise Trump will win easily
133,perry de silva,"WOW, GOD BLESS AMERICA. BLESS YOU MRS. TRUMP."
134,Kayana Sullivan,"If Biden/Harris ticket wins, the VP will become president. That's a thought I don't want to think about!."
135,Troy Jenkins,I get a little nervous seeing all the one sided media about how Trump is loosing and then I see these amazing rallys and just smile.All you Patriots are amazing.Keep on fighting👊
136,Fab Fabe,Me and all my college friends dislike Biden’s policy and we prefer Trump but we voted for Kanye because he’s an ally 👍
137,Josh Easter,TRUMP 2020! For the USA!
138,Lucille Guenette,First President that has ever made our country the best it's ever been he puts AMERICA first and doesn't lie about what he is going to do Love you sir thanks for all you do for our country
139,Krisztián Takács,"Just an innocent comment. Someone called B N wrote this:
""Has anyone ever heard people saying.    We love you.   Like this""
I actually has. ""We Love You"" is a song by the Rolling Stones. Incidentally, one of the bands who loves Mr. Trump so much that ""threaten to sue Donald Trump over use of songs""."
140,K S,CORRUPT BIDEN CRIME FAMILY.  WORST OF THE WORST.
141,Trina LovesQQPlus1745,President Trump is going to Win. Win. Win.
142,Billy Ray Otinger,Trump will WIN Here in Alabama with 80 to 90% of the Vote
143,Partywrestlerproductions LLC,"Hey smart guy it’s called the secret service for a reason unbelievable,he’s name dropping lol 😂"
144,Jordan Jenkins,will Joe Biden remember his own name ????
145,Project Dorcas,God bless POTUS & FLOTUS.  Such a fair dinkum couple.  Cheers from Australia.
146,Neil O.,"USA v democrats ,BLM Antifa, Al Qaeda, communism etc."
147,Nick Langarica,Wow now this is a Rally I needed a wake after Biden Rally put me to sleep
148,Kizito Lukanga Ndawula,"Let  us carry out a political economic analysis of the two potential presidential candidates and what they stand for.
JOE BIDEN
He is a socialist: By socialism freedom will be removed and a socialist deep state introduced. With his policy, he will create a clean atmosphere by removing fracking and oil which will plunge the American economy into a great depression resulting into riots, looting and poverty. He wants to lock down the entire country because of Covid, which will lead to the collapse of the entire country, which will lead to the introduction of chaos and probably a new order. If you are forcefully locked down for a long time as a country, then you will you not find food and water when the economy is collapsed. To me this is no joke, I believe that when Joe wins, America must collapse. Period"
149,First Last,"“But my wife Jill as you know, and Doug Emhoff, Kamala’s wife are there” – Joe Biden
Imagine the confusion of Kamala's wife gynecologist."
150,Julie Weekes,"Melania is the classiest first lady ever, and is such an incredible spokesperson for the Trump campaign!!!! 4 more years!!! Trump 2020!!!!!!"
151,William Thompson,"full of energy , everyday rally ... Go Trump"
152,Denis Murray,"well done first lady, a great speach ,believable not like the career polititians"
153,yboohcs,Way to go Florida you showed up in force with beautiful energy. It's humbling to see our nation finally standing together I tear up seeing the public show so much affection for FLOTUS & POLTUs I am so grateful to see the rise of American Patriots and God being honored.The first Peace and Prosperity President and first family represent our nation better than our last 9 Presidents combined.
154,Tony Shaw,Greatest President in our history!!
155,Me King,"EVERY SINGLE WORD OUT OF TCHUMP'S PIE HOLE, IS AN UTTER LIE!  WAKE UP AMERICA, SAVE OUR DEMOCRACY ON 11/3"
156,James Todd,What is there a commercial every 2 minutes on this? C'mon YT!
157,Steve Bell,"A restless lion, seeking whom he may devour, but bereft of discernment, they have no clue as to the sanguinary nature of the predator."
158,Harry William,The Trump administration is fighting in federal court to block states from giving billions of dollars in emergency food stamps to the lowest-income Americans during the coronavirus crisis. That's to people like me andvyou with families 3 children you lost your job. You already feel bad you can't barely pay your bills work all your life. You don't want handouts but need help. So what he says in rallies smiley clowning around. Then he screws everyone behind their backs
159,Ester Truitt,We love our FLOTUS and POTUS MAGA FourMoreYears!
160,AJ,It is so endearing when Melania plows through the applause lines. 😂😂😂 I wish Trump would coach her on when to pause. Maybe she was nervous.
161,Starling,The amount of hard work he puts in is just incredible to watch. He totally deserves another term.
162,Digital Evidence Expert,Democrats want to cheat in the election by submitting mail in votes after election day after they see which states are close. I hope the courts throw out mail in votes that arrive after election date to prevent this type of cheating.
163,Lullaby,"Redhead in the hat, middle right.😍
Blond in the camo cap, top left.😍
Couldn't help getting the serious eye candy while I listened.
Lol. Sad I know. But hey, beauty is beauty...right? 👍"
164,runner6500,"Meanwhile, a Biden rally attracted so few people, it turned into a roundtable discussion. In other news, polls show Biden leading by almost double digits."
165,Steph MacCormick,"Don't worry, Trump will win by the landslide. Polls lie."
166,Jessica Lynn,"anyone who wants to be locked down again and wear a mask for years when you have to go out, stay in your basements!!! TRUMP2020 baby! 🐘♥️🤍💙🇺🇸"
167,robert munro,I hope trump wins dems are piting black against white promoting racism.
168,Ricardo Rodriguez,The realest! He called out everybody 😂
169,Mikey b,"Voting For MR Trump Tomorrow! He is ""NOT"" a life long Politician trying to line his pockets. He IS A Business Man, We Need More Of This In Our Country / Gov't!!"
170,Francisco Sandiego,I still take Trump n melania over Biden any day of the week and every week of the 8 years.
171,rodzilla,Didn't this guy get impeached?
172,saint god,hairy harris got slap up down left right n center during debate with VP Mike
173,maninthemiddle55,It’s a Florida Man convention!  Whoever is working the bath salts concession there must be raking it in!!
174,amyrodriguez14,I commend President Trump for taking the bold approach and bringing the videos of what is really going on to the American people when the news will not report it. Thank You!
175,Mystery World,Can you imagine this world Full of Love Peace and Respect 🌎 🥰
176,Nicky Magnetti,"""We are a country of hope not a country of fear or weakness""  Absolutely. Well said. It seems everytime Our president, first Lady, Vice president speaks they are always thanking us, telling us how much they love us. Whenever Biden and Harris speak ( granted I don't listen to them speak much anymore) they very rarely to never say they love us or thank you. Seems they are always trying to make us fear our country."
177,Tory Dean Schwenk,The Proud Boys Need A BBQ on Googles' Sidewalks
178,Neil O.,"They're using everything in their political and financial arsenal to take Trump down,they shall fail."
179,Gregory Castro,Keep fighting the Good fight praying for everyone In Jesus Name Amen
180,Jay Mano,"As a first time voter here in NYC (voted in person), I voted Trump 2020!! Hopefully we can see a sea of red this year! I believe in you America! ❤️"
181,bernadette Rose,"Fellow American, brothers & sisters. Those of us born in this great country🇺🇸. The politicians in Washington especially the Democrats,who have & will continue to abuse their power for financial personal gain. Are the enemy of every American citizen. When President Donald Trump, said he was going to “drain the swamp” the corrupt politicians in the Democratic Congress/Senate. Created Hatred/Division, against the American citizens. FEAR, has been the Democrats, playbook for the past 3 1/2 years. The truth is, The Corruption the Democrats, have committed against the American citizens. Was in jeopardy of being EXPOSED. Imagine the outrage! It’s no coincidence the corrupt politicians in the Democratic Congress/senate. Did everything possible to cover up their corruption. Not only did they Violate millions of Americans, constitutional rights. They have abused their power. The only way it will stop! We the American citizens, must hold them accountable. There are more Americans, who believe in what a true democracy means. There’s no Division! We are One people, We are One Nation under God! We are One people who believe in Truth. We are One people who won’t give up believing in justice for all. We are One people. The Obama/Biden, administration weakened our Nation, corrupted our democracy. The Democrats fooled millions of Americans more than once. Shame on Them all! If we allow the corrupt politicians in the Democratic Congress/senate leadership. To fool us again, Shame on every American citizen!"
182,biriani khabo,Wow now this is a Rally I needed a wake after Biden Rally put me to sleep
183,Tech Guy,This doesn’t look like FL is voting Biden.
184,Jacob Use Code TINNICHOLAS26-YT item shop,Biden a big corrupt family under China payrolls
185,국민불복종 선언릴레이 1호,"Watch South Korea's Moon Biden sell his country! If you vote for Biden, you'll regret it 100 percent. South Korea is becoming a tributary to China. South Koreans are shedding tears of blood ."
186,Jin Chong,SIMPLY SPEAKING THE WORST CORRUPT POLITICIAN BIDEN IS TOTALLY FINISHED!!!!:)
187,v v,how is her accent so bad when shes been here forever and had plenty of time and endless resources ?
188,Green Bean,Where is paint the trump? I know he's in that crowd somewhere.
189,Jay M,Trump say 'rounding the corner' while racing around on the Corona Super Spreading Circuit.
190,jeffwads,Biden hosted some trucks in a parking lot down by the Y.  I heard it was riveting....
191,Matthew,"I was in Plant City yesterday! Wish I had known he was coming, I wish I could have been there"
192,Michael Harness,Hey biden. When you talk about a $15 minimum wage you need to talk about how it needs to go up automatically with inflation. That’s the way it should be. If the minimum wage isn’t going up by inflation it’s going down. That’s why we have so many working poor.
193,Theo Bouwer,"Never known America standing this strong, never mind the weather as along's we together. MAGA 45🇺🇸💪"
194,Hanan Kirolos,President trump make the sovereignty for the America in all the world’s
195,Norman Sutandyo,"I share it to Facebook: Donald J. Trump, President, Melania Trump, First Lady. God bless America Donald J. Trump 2020."
196,Bradley Sear,Most of the people voting for the Democrats are government employees who otherwise would never but do so because they are on the state tit
197,Denis Bergeron,Do Canada shan’t to ally’s whit Europe’s
198,The Working Clash,"Just remember Americans: don’t get overconfident. Go out and VOTE, possibly IN PERSON, and let’s save America and the West by voting for the only President that has the guts to stand up to China and protect the West! TRUMP 2020!!!"
199,serbes nick,"""You Can't Always Get What You Want""  for free
not anymore cause we used to play all kinds of mixed songs as pre rally 
N O T ANYMORE"
200,stone johnny,"no doubt! president trump will win soon, and keep America great again!"
201,David Mosseri,"“YOUNG MAN! WHAT DO YOU WANNA BE?” 

Blue haired Biden supporters: “I wanna be one of those people that get FREE money from the government every month. MWHAHAHA eat the rich. BLM. ACAB.”"
202,Mila Martinez,"NOW TODAY TOMOROW AND FOR EVER 
TRUMP 2020"
203,Justin L,Cmon man. You cut off the ending. He was still speaking
204,ALVYN LOPEZ,"MR. TRUMP I guess my job is done, from the looks of it the WIN is a few days away, TRUMP 2020"
205,Hannah Alezana,FOUR MORE YEARS 2020 Pres. Donald Trump God bless USA
206,Helga Scott,The support was tremendous! I loved every moment.
207,Ellis Tang,"we all know that the big red waves will come up , but the most important thing now is that Trump's supporters no matter what the weather will be , no matter how long the queue, no matter how long the wait  and must wait until the finishing line to vote Trump and Republicans all the way . US needs you and the future of US is in your hands,"
208,Velexia Channelling,"Can u believe "" Come On Joey"" is going  to Tampa today too?"
209,Vera Gutman,"OUR PRESIDENT DONALD J . TRUMP THIS IS THE HONEST AND FAIR, HAS A WORD  KEEPS THE WORD THAT PROMIISES, ONLY HE CAN LEAD SUCH A GREAT , BEAUTIFUL OF THE USA!"
210,SeekNKnow,1:27:20 for the lady tearing up pics of Dems in background. 🤣🤣🤣
211,Fay Huff,4 more years💯
212,Dennis Hicks,"Better America, now that's common sense.
Trump2020"
213,Manuel Sá,Is that even melania? Lol
214,Patty Rogel,"Make America Great Again Mr. President!!! God is with us and He will help Mr. President Make America Great Again!! I am tired of dirty politicians, we need a business man in the white house for another four more years!!!!"
215,Alan,"WE WILL SEE A RED TSUNAMI
BOZO BIDEN FOR PRISON!"
216,ashcroftg1,"TRUMP...WE ARE THE CHAMPIONS
BIDEN...THE SOUNDS OF SILENCE"
217,justin manalad,TRUMP for 2020 President. GOD loves Trump and He will make him win!!!
218,SWS,America will NEVER fall to the Marxist Democrats!
219,Angelo Assimacopoulos,Lets see the Press BASH on the 1st lady. The  sad part is they will and the Washington Democrats.
220,Z W,Trump 2020!!!
221,brent gosch,How much does Lee greenwood get paid every time his song gets played 🤔
222,Sima Tafaoimalo,Good to the President and the Flotus together. MAGAUSA
223,Yolande Robinson,"A question: I’m wondering if Trump or your administration aren’t concerned about COVID or universal health care because it doesn’t (directly) affect their budgets? Here in Australia where hospital care, meds, and community heath care is free, they have JUMPED on COVID and I think the large part of it is the enormous financial cost to our health budget of a nation-wide pandemic like yours. Thoughts? Best wishes and prayers from Australia 🇦🇺🙏💕"
224,Anthony Omoko,"May God continue to bless President Donald J. Trump!!!
God bless Vice President Mike Pence!!
God bless the United States of America!"
225,Petey NY,Joe and Co. Have sold Out The American People! They’re compromised! Be Smart! New York For Trump/Pence 2020!! Vote In Person!!!
