,Name,Comment
47,JF,This was a month ago? Jesus 🤦🏼‍♂️
48,Mrnoone338,That moment with Chris Wallace at the beginning.
49,Mya,This is the most intense nursing home I’ve ever seen
50,Dennis Rodriguez,I came hear to watch the mess and I expect not to be disappointed.
51,Charles Garrett,I came hear to watch the mess and I expect not to be disappointed.
52,Wally Jaik,"""We need to pass this bill for we could see what's in it""Nancy pelocy"""
53,Keirian T,OH MY GOD THEY JUST LEAKED THEIR STREAM KEY LMFAO
54,Ryan B.,I’ve seen preschoolers more well behaved
55,Courtney Kline,Tell me why the poll adds up to 128% tell me CBS
56,Cool Cat,Love you joe...I’ll vote for you with all of my aliases...
57,Andrew Nguyen,"Hey CBS and Democrat nominee for President Joe Biden, when are you folks going to tell the truth about Hydroxychloroquine and the fact that it is cheap, safe and effective in treating the coronavirus.  Dozens of peer reviewed studies conducted by ethical, honest and unbiased medical researchers have all come to the conclusion that Hydroxychloroquine is effective against the coronavirus.  Of course, on March 19, 2020 President Trump recommended it be used in the fight against the coronavirus when there were reported to be 187 deaths in the United States from the coronavirus.  Dr. Fauci immediately denigrated this safe, cheap and effective drug instead pushing the Big Pharma dream of a billion dollar plus vaccine being created despite the fact that it would contain toxic chemicals and never be as effective as Hydroxychloroquine.  Also, Hydroxychloroquine has been safely used and prescribed by doctors for over half a century.  Unfortunately, lying doctors and the actions of Dr. Fauci managed to get Hydroxychloroquine banned for treating the coronavirus.  In the meantime, nearly a million people worldwide and well over 200,000 here in the states have died waiting for this non-existent vaccine to arrive.  Apparently, hundreds of thousands of deaths in the United States are acceptable to biased lying doctors, the biased and propaganda spewing media and unethical democrats if they can finally get rid of the duly elected President of the United States."
58,ALI ISMAIL,inshallah xDDD
59,butternuttt,we teachers have a mute button when we don't want students talking during our zoom class
60,Robert Winter,Jack Dorsey for prison 2020🇺🇸🇺🇸🇺🇸
61,Julio Cicarrelli,a president that I send his people to take hydroxide corokina this guy is an unbalanced
62,Wise Citizenry,"C'mon....Can't you see I'm a professional liar"" C'mon....C'mon...."
63,kim anh,This debate is set up like a game show lmao
64,jackliu239,They should just cut off the mic of the other person when one side is speaking.
65,Jermain Good,I’m crying 🤣 this O’l Joe ain’t just drop a tear for the AA community. VERY ENTERTAINING
66,Dwayne L. Gadsden,50:17My favorite part
67,PulsatingDevil,"1:00:16
Hey I found the part surreal entertainment did"
68,Winnie Cooper,I also love our feminine miss phillipe lying to us through his teeth
69,Nino,Watching this debate was better than watching some of the big budget movies released this year like Mulan.
70,Barb Elgin,how fast djt forgot how hermain cain came to one of his big rallies outside and soon after died of the virus.
71,Christopher Harris,"Voting for either of these guys is like getting shot by a .357 or a .44,either way it's gonna hurt."
72,Winnie Cooper,"I love how just because trump said Biden hasn't done anything in 47 years, it becomes threatening"
73,Scruffy Sandra,Haha Bidens face in the thumbnail! You must of worked hard to find a picture of him looking that awake!
74,kegsofvomitspit,"This entire “debate” is embarrassing on all sides. As an American, I’m so disappointed that this is what passes for political discourse in my country."
75,Red Runner 3,"""Presidents are SELECTED not elected."" - FDR"
76,Anonymous,The Impeached President running for Re-Impeachment! Say What? Joe Bye~Don!
77,Johnny Rodela,This is worst annoying like elementary or below children screaming gave me a headache!
78,Duffel Sally,"""On January 31st, Trump announced a ban on epidemic prevention and prevent Chinese people from entering the United States from planes from China. Biden hid in the basement and accused President Trump of xenophobia and racial discrimination, but the Democratic Party criticized Trump for racial discrimination.  On the 13th, New York Mayor Blasio went to the Flushing restaurant to grab food and ate with his hands, calling everyone to go out to dinner and cursing Trump for preventing the epidemic. On February 24, House Speaker Pelosi cursed Trump and called on the United States to ""  On February 27, Trump signed a $2.2 trillion anti-epidemic rescue bill, and the Democratic Party had conducted more than a week of blackmail and wrangling. On March 4, Los Angeles County entered a state of emergency...  ... Trump suggested a blockade of the New York area, but was firmly rejected by the Governor of New York, and declared that Trump was declaring war on the United States. On April 2, House Speaker Pelosi announced that he would not rule out the ""second impeachment"" of Trump on April 5.  The shady scene of New York State purchasing medical equipment at 15 times the normal price was revealed: the original price of 30,000 US dollars portable X-ray machine was as high as 250,000 US dollars. As of April 5, eight of the top ten in the U.S. pandemic were Democratic governors in power.  After that is the Freud incident.""  Almighty democratic society!  !  !"
79,Red Pill X X,"That poll is so wrong, at least 80% watched this for the entertainment"
80,forest gump,Glimpses on the edges of the future of insanity
81,Jewely H,Scared yet? They are coming for you. All of you criminals.
82,BeastMoud 7,1:00:10 😂😂😂
83,Wilfredo Pequet,King adda ka San leonen nakkong???
84,E E,They going to have to raise their hand to talk now
85,William Cho,This debate is a good example of what America is now.
86,jdoggs08753,Any medical experts that work for him that aren't following his lead should be locked in the basement of the White House especially during an election
87,SimpliciusTeutsch,As I'm not a citizen of the USA this is interesting for me to get information out of first hand by watching this. Thanks for showing.
88,Dennys Alvarado,yes sorry with respect I tink it will be good and more perfection for the united stat
89,John Brand,Serious idea: then next debate should be on zoom and the moderator should mute the person not speaking
90,AdrianTheHomie,These guys argue like they’re brothers it’s awesome 😂
91,Davis bethel,Game on. Haliary know what she got her self into...
92,Kayla,Am I really Gonna watch this 2 hour video ? Yes
93,Dr. GreenThumbs,"he did take a different approach, didn't he.... ""how is Joe Biden going to react?""  slowly, that's how..."
94,The Scientist,aye this SNL skit seemed kinda long
95,Warren O.,Everytime I tune to you establishment types I notice how out of touch you are.
96,Fix it Felix Appliance Repair,14:00 how many times can thia fool be wrong and people still believe the media and pundits....what a joke...
97,Kevin Tornel,I really hated that trump literally interrupted like every 5 seconds
98,Dennys Alvarado,with the bom that was in front of me made it more hot
99,Colleen Swanson,My 15 year old daughter said it was like watching 2 bad kids in school and Chris Wallace was the substitute teacher.
100,Dennys Alvarado,my name is Mary I would like to also like to give voice derections to this hero's perfect number by te time try come back we will still be a mason but more life's can be is early just pick me up
101,Lenny Watt,1:04:25 - 1:04:45 🤣😆😂😅🤣
102,Hamster En ligne,Now it's time to look at our third party options and cry.😭
103,D F,THIS WASNT A DEBATE IT WAS A ROAST 😂😂😂
104,Yeici Villatoro,It sounded like if they were in a Modern Warfare 2 lobby lmao
105,donist level,trump right he do think we are just super criminals at least we can see trumps racist
106,Sa Ustine,"Every time I get upset,  I come on here for laughter! Hahaha hahaha hahaha..... lol"
107,Micah Buzan,Best episode of WWE I've seen in a while.
108,Anaan Shahid,"Is this era of technology it's funny. How they couldn't rig one microphone to turn off, when other one is on"
109,High Cat,This is the craziest rap battle I've ever seen.
110,Rozith,Biden's laugh is a tired laugh 🥺
111,Lura Leigh,I can't stop laughing!
112,RedPillorBluePill,love this informative non-partisan coverage.  LOL
113,Ipsizm,THIS GUY CALLED EXACTLY WHAT WOULD HAPPEN
114,Inigo Mendoza,My last two brain cells during an exam:
115,Travis Railey,"In reality, insulin still retails for roughly $300 a vial. Most patients with diabetes need two to three vials per month, and some can require much more."
116,Vi T,Safe !   Perfect  job  keeping  us safe  trump ! COVID  almost  defeated!  Jus  ignore  Truth  as usual!
117,elizabeth keliihoomalu,Biden u just wanted to take everybody stimulus check away I seen it on YouTube
118,Catherine Snook,Hi bunch of kids why don't you grow up speak to one another don't yell at one another you're fighting like a bunch of kids
119,Ralph Hardie,"Turn off the microphone
After the 2 mins
That's fair."
120,A King,"Lol! ""The more Biden talks the better he does with the audience"" .... yea right this guy is biased and beyond dumb."
121,Dominic D'Angelo,WWG1WGA
122,Amar Saini,Did no one seriously spot the polling percentages? @2:06 I thought they're supposed to add up to 100%? 73+41+8+6≠100
123,Pat Miller,GoJoe go! Beat the sewer rat( liar).🇱🇷
124,bigsadb0ye,"Lets be honest, 

You watched the entire thing for entertainment."
125,Alba Alamo,Lamo
126,Marvin Villalta,@41:09  Whats that again Joe?  And they said you’re losing it...
127,Shelsia Langa,Where Ye at🤣🤣🤣
128,Dennys Alvarado,thenks
129,jvcmv,"when he refers to ""Mr. President"" as if he was talking to a child"
130,Lorita Osburn,DON JR. Said it all at the end..Straight HIT THE NAIL ON THE HEAD...
131,tootsmanju,"the Bravest thing you did Joe was when you blurted... “oh, Shut-up Man!!!”... and he was POTUS..."
132,jason ferguson,Biden was wearing a wire during the debate!?
133,Saiyan,That fly tho 😂 lol
134,Goody Jell,"we gonna die y’all. nice seeing you...or not
🕳👩🏽‍🦼💨"
135,Sammie North,was this game one of the NBA finals? who won?
136,Debra Abrahams,⁰
137,J. Walker,CBS is the virus! excellent editing job.
138,Panic Button,"I've got some advice for both parties. Common sense, common sense and use your common sense. Trump doesn't have a cohesive thought in his head so that's out. Substance from Joe Biden is much more likely. Bail the American people out. We've done it for the corporate sector and government. SHUT THE COUNTRY DOWN. use resources to ease that pain. 
1, essentially necessary workers only. "
139,Default,A Twitter argument personified
140,StAttus Groov3 Tube,Wow
141,bobby cocktail and the guat.,"1:42.50
😄"
142,Dulce Castro,I love him because you be in J
143,Barb Elgin,trump may regret lying about his 'millions he paid' fed taxes 2016 and 2017
144,Brennan Bartlett,discord voice chat when its time to vote off the imposter was better organized than this.
145,Old Religion Dystopia: Knowing Vs. Belief,While the rest of us are suffering they're more interested in entertaining us with a fraud of a Presidential election. Pure evil!
146,Drew .Callon,Kykykyk
147,Kshitij Bhambri,"Hey...here from India..Just a small question to my friends of The USA:
If it was Pence Vs Harris instead of Trump Vs Biden for Prez, who would you vote for?"
148,Lu,Watch your wires BIDEN AND YOUR EARS.
149,Lioness Princess,This debate was between Trump and Wallace... lol.  Joe was just an extra 🤣😂🤣🤣🤣
150,Jocelyne Otoole,:
151,miracle man,Come on man i remember the same time frame H1N1 60 million had this virus when Joe was in office Trump did a lot better job cause covid 19 is air bound an only 7 million got this
152,Mr Georgio,2:03:31 - say what now?
153,William Sharon,God bless them all
154,Greg A,Debate moderators should have supersoakers. Just a thought.
155,Roy Smith,thôi nghỉ mẹ đi Coi giây đầu tiên mà nước miếng cứ chảy😂😂
156,Dennys Alvarado,I did my job as soon as you tuck the las out I think you are going to help a lot of imigrits
157,Mike Studmuffin,I watched for the entertainment value
158,Randy H,And why does he have a pen to write down what they tell him maybe lol
159,never saw this k m8? ?,i thought these comments would be a warzone... it's all memes.
160,Marié telléz,Thank you for the great analysis
161,TY2020,I wish they had someone fact checking them along with a moderator. I feel like both of them said so many misleading things that people won't catch on to unless they look them up.
162,,President Selection!
163,Anna Gogacz,Love it
164,Coby Roye,The moderator should be able to turn off the mic when that happens
165,Wit 1.618,"Joes laugh is a cry for help 🤣, take the battery pack out of your back.  You have a low battery sir."
166,Sean Charlebois,I cant wait for the crgs
167,Diamond David Lee,"""Let me shut you down Joe just for one second"" 😭😭😭😭😭"
168,tulsi gabbard 2024,Fu cw
169,Pie,"They should start installing a button for the moderators to control speakers from going rampage, just saying>>"
170,Broccoli TV,Hahahaha OMG
171,Kleen Team,"JoBama Biden...'da da....uh ....da....the hair on my legs! 
Go smell some hair, reject"
172,Roy Salazar,...get him off stage and camara...☹️
173,FunPus,I may be old fashioned but in my days percentages went to 100. 0:20
174,1 chao,"after 30mins,i've alreday had a headache"
175,PeterTV Show,ジョー・バイデンに投票してください！ ドナルド・トランプを信用しないでください！ トランプは嘘つきで彼は悪です。
176,Sean Charlebois,Whos laughing now killary😁😁😁😁😁
177,RazorRook,"to be fair, Biden was the first to start the interruptions @39:58"
178,Slinkylabcat,Here we go.  Let's get this party started.
179,han jisung,"""let hi- let him- let him fin- alright mr pres- MR PRES- MR PRESIDENT we are not-"""
180,Duffel Sally,"Laptop is the matter big guy, Beijing Joe"
181,LinksHopping Golfer,"@1:22:25...
Did that just happen?... Did he just point to  Biden and say that he did it too? Also when Wallace said that Trump was interrupting a lot more, he said, ""he's done plenty."""
182,James Rajan,Answer the question AH. What DT mean by standby?
183,NonStopMix,"Interesting... Take 2020 and divide by 666, it equals 30330, which coincidentally is the same # that Biden uses for his presidential campaign updates. 🤔"
184,,Felt like they was about to start boxing.
185,Davis bethel,All these lies🤦🏾‍♀️
186,Gary The Rocker White,You again have mot answered the question
187,Georgia Gonzales,The one's I fill for are the children why would any parent teach there children hate crimes my heart cries out for these innocent children who died
188,Dennys Alvarado,my name is Mary Im using my friends phone I'm donoltrumps nice to make this easy
189,Keifus Mathews,"Dear persons  that’s reading this, we don’t know each-other but i wish you all the best in life. ❤️"
190,C Hewitt,"What ""shutdown"" ?"
191,Stu C.,another guy that doesn't believe his own eyes  thanks CNN
192,Eric Cole,Federal forests in California and he wants the State to clean it up?
193,faulk ray,"Joe is looking for a bed, and I voted for him"
194,MikeKnight009,I wish Presidential debates were actually about debating and not two adults fighting each other
195,Dennys Alvarado,and collect what they have stoled from us in other contris with ower digits and dubulit to fix ter probloms and take them or take there palece
196,Angela Severe,You can interrupt and is ok!!!! Right😂😂😂🤣🤣🤣🤣
197,Larry Bobby,Sheeple
198,Phyllis Turner,So SAD!😞
199,Aetreus,"Imagine that..
The American people watching this ""debate"" as entertainment. This is where we're at"
200,Al. S.,"Oh Biden, the delusion. 😬"
201,Dennys Alvarado,I studied this sence I was 12
202,Wadjet,@34:53📣LET'S GET READY TO RUMBLE!😃
203,Ron Davis,AMY C BARRETT FOR SUPREME COURT JUSTICE!
204,darren hoffman,Before this so call debate. I think everyone knew this was going to happen.
205,Dennys Alvarado,yesss
206,Oscar Jones,"2 six year old elderly Baby Boomers fight on the playground for the second time; I’ve seen preschoolers more well behaved!  One who can't even remember where he is at most of the time!

* “Smart people learn from everything and everyone as well from their own experiences, average people more of less, when at covenant time is in their favor, seldom just only from their experiences, stupid people…… already have all the answers & they always right about everything.”"
207,dsales2011,The sad part of all of this is that we have to still put labels of skin tone and racial tension conversations in 2020. Its never gonna end in this country.
208,Toni B,I think msm is under some intense form of mind control
209,YummySoap,2 five year olds fight for class leader and the moderator is the teacher
210,doris meaux,YOU.CHEATED
211,بندر الصبري,My bander sbry yemin
212,Buck Russell,Joe who
213,Nancy O,SEAL TEAM 6
214,Vadagar,Never thought i would laugh so much during a presidential debate.
215,No U Turn,in Trumps defense he tried to let him talk and then go and they would not give him a response.
216,Ty F.,I never shook my head with so much disappointment I shook myself to sleep
217,Gothic Moon Child 36,Biden's leading by 11 points 🤘😷😊
218,LeVar Freeman,"The wicked will not rule the land of the godly, for then the godly might be tempted to do wrong.
Psalms 125:3 NLT
https://bible.com/bible/116/psa.125.3.NLT"
219,DJ B,This made me start emotionally eating.
220,Tationna Booth,"If you in a professional position like that, you need to keep it professional. 🤦🏽‍♀️🙏🏽"
221,Judi Christophersen,I wish someone asked TRUMP where are the peppers checks? Y don’t they ever ask it?
222,Jvante’s Hits,Ooooooo
223,Greg Harris,Also another thing the media reminds me a lot of Bill Clinton
224,OGBabygurl,I fear for the future of this country. It's like trying to pick the lesser of two evils
225,Lady Droog's Corner of the Internet,Idk why but I just love joe bidens' chuckles
226,English Mag,will there be timestamps with the main questions answered?
227,Doris Williams,IA
228,Christmas Love,thanks
229,akaElleLatham,Alright. You've convinced me. #GiantMeteor2020
230,Jaye autocorrects to Hate,"Yes...let’s ask Donald how he’s going to fix the economy after his mishandling of the pandemic that’s going to wreck the economy. Better yet, ask Joe."
231,Dennys Alvarado,that's realy good we are good then
232,CM Lion,Prayers for the mediator
233,James Robinson,On this issue I could bring it up with my daughter blue ivy if you can help me out with this issue I would appreciate it thank you and have a nice day &God bless you
234,cambria moore,"It was so annoying bc I was trying to genuinely hear their answers, but all that was happening was a bunch of bickering and insulting."
235,Brilla Wade,Hi
236,Greg Harris,Joe Biden reminds me a lot of Bill Clinton almost exact
237,MrZainel,really if it was me i would do this ok so if it was me in ww2 i would do this and people vote biden you mean you vote on 1 that will fix things 3 years later and say i WOULD do this then if i knew .......
238,Andrew mcgoogles,#liberalsfortrump? :/
239,Giuseppe Colesanti,They just need to turn off mics when it’s not their turn
240,justina,two days later trump gets covid 19
241,bao thanh nguyen phuoc,1 VS 2
242,Lizard Wings,"Here's a drinking game, every time the moderator asks mr president to stop take a nice big swig of tequila."
243,Hip Content,"he wants to see peace but he created civilian war, hahahahahahaha"
244,ContemplationCat,Me: Laughing at the debate
245,Peter Carey,"smack him Joe, smack the clown to the grownd. ."
246,nube negra,Stop!
247,Bit Finesse,"I grew up in a Democratic anti-gun household. As I come into my thirties, I see a government that claims to be able to provide for everyone’s security. Then the gov’t lets people’s businesses get burned down in the streets. It’s pretty clear every citizen has to claim the responsibility to protect his and her own self and effects. The government isn’t able to help any of us. "
248,yuwonder80,"I Can't Deal! 

SEND THEM BOTH AWAY!"
249,megan ellyse,Someone please give poor Chris an airhorn 😫
250,Project Pedro,"All speculation 🤦🏽‍♂️, did anyone learn anything from 2016??"
251,Dennys Alvarado,to sée how my career dos
252,TarzanWannaBe,"1:22:00 The""fine People"" hoax."
253,william willie,I'm undecided between giant comet and super volcano lol.
254,skamravec,For a moment I thought I was watching Jerry Springer show
255,Damian Xavia,"From what I'm seeing, Twitter had deleted a lot of things in relation to @realDonaldTrump & it is looking as if they are doing the same on YouTube because a lot of his videos seem to be disappearing? 

There's no explanation why! "
256,BEazy 99,Lol. This guy worked for Hillary.  Now Let's talk bias
257,Bobby Arnold,Bboboibib
258,Trent Fletcher,"If symbolism will be their downfall, I hope you have noticed what I did. There is no red and blue or left or right. There is only right and WRONG... Good and EVIL. Please be in the right side of the tracks. God bless each and every one of you."
259,Facing Fear,"biden ""hes a liar""
trump ""no he is!!""

my god. were doomed. im moving to Australia"
260,COOL BRO,bruh they have inverted ties
261,تشي ولااعه,🐎
262,Jack Hammer,12 more years! 12 more years! 12 more years!
263,SSB Goku,Lol
264,Mns Sul,What an embarrassment debate that was between two clowns 😂
265,Marta Velez,Old Joe cannot provide ANY STRATEGY OF GIS OWNERSHIP!
266,Diane Wheeler,"35:12-Supreme Court Nomination
42:43-Healthcare
49:15-Pack The Court
50:37-COVID-19"
267,DebYah Ysrael,"205,000 deaths and 0 deaths from natural causes.......... amazing...."
268,Martin Rodriguez,you know the majority of us are ok with throwing hilary in jail ? lol
269,Elixr Eli,I don’t even know what just happened I just watched Trumps face expressions
270,Morgan Yoder,"1:07 lol look at the wire lol or is that a shirt crease? oh well, all i know is that joes team refused doing a test to prove it wasnt a wire😂also tho this debate is literalyy donald trump vs joe and chris wallace 😂"
271,Bang Gus,Saya suka debat ini
272,shailendra malpure,START LOCAL TRAINS PASSES TICKETS TO PHARMACIST PHARMACY AND RETAIL AND WHOLESALE MEDICINE TRADERS CHEMISTS F D A ANS PHARMACY COUNCIL OF MAHARASHTRA  MUMBAI
273,Obi wan kitty,Uhh I woke up to this
274,Swirlier Rose,literally a stan twitter argument-
275,Ailsa Ni,When your children arguing over whom turn is it on the video game console
276,Flora Page,Yes they were leaving before the big factories were leaving our country...
277,Benjamin Araujo,Lol filter on fox every other news station says the exact same thing word for word plus must people don't even like watching Fox you guys are all liars
278,Sue Richardson,Hmm.
279,Judy Mellies,I agree that this debate between Trump and Biden was very disappointing.
280,dobromir divilski,you need FBI and NSA for president.they will take care of you greatly xD
281,Sungirl Slynnewood43,She left it on a Form 530 and an 1040x
282,Jessica Watkins,what about the hopeless mr.presedump
283,solidsnake4214,Jorgensen should’ve been there
284,ashlyannn,Not even Half way thru the debate and so far I know the words “not smart” is a trigger for the president.
285,Come and take it 570,Banned.video
286,goldie sincity,"Well , well , what have we here the Devil vs. Satan ."
287,Nina Coronado,thank you next
288,Dennys Alvarado,you just a person that is been deleon us that's way u were one
289,Michael Farojoye,The most toxic and dirty presidential debate I have seen.
290,Anna Gogacz,Cracking me up
291,Got Wings Tv,..Noone in their right mind is gonna vote for biden. He didn't vote for himself even cause he is white. He will be in the nursing home in less than 4 yrs so why bother anyway ?.  biden is not sure where he is or what he is running for most of the time.  biden really likes sniffing kids and touching them on camera. That  is the only reason he wants to be  president. If you didnt vote for biden he said it is because you ain't black.  Guess he means to say no one that is white will vote for him. Good point he made. Most  black people will not be voting for him either.
292,Gary The Rocker White,What is w r ong with you how could the virus atack one color over another
293,Stephen Cywinski,Joe the talking donkey.
294,Em Vambell,Genuinely surprised Biden held his thoughts as well as he did with Trump trying to rattle him.
295,Dennys Alvarado,I help him I doneted my milion
296,markart157,Why the journalist's voice is so shaky as if he's afraid?
297,Tim Yowell,Just watched this.   I wish I could be with you Nov 3rd.  Just to watch you cry and whine like a baby. When the results are released.
298,bobby cocktail and the guat.,You all know that they take seminars on hand placement and activity. Fyi.
299,Guu,"""just turn their mics off when they're not talking""
just elect politicians that dont argue like children problem solved"
300,The Real Wilfred Dierkes,Oof.
301,joseph tiernan,Ggeat stuff from the guardian
302,Prune,wow. this was pretty sad watching. i wonder why its so hard for trump to follow the debate regulations.
303,deyla oliveira,USA towards Argentina and Venezuela with the left in power
304,solomon love,I got a headache...both y'all go to time out...face the wall!!
305,Jamica sheree,Clinton?
306,Laura Browning,This was a Presidential debate. It was a travesty. I don't see the humor.
307,T Val,Yep..infected and yet just fine.!!
308,ilya petlinsky,"Wow. Blind people talking here. Hey set parties aside, check yourself for honesty and truth. Take your blinders off here."
309,JIGEN 42,the only thing missing is the clown paint. Two children fighting and not making any sense
310,marc larrieux,Where is this MUTE button 😂😂😂
311,TE Gaming&Other,donald first did this as a pr stunt for sure but im still suspicious about his recent behavior idk hat hes got planned.  if he is losing a good democrat or republican whatever thats actually qualified for the actual job can be elected and not turn out to be an idiot like trump during his mad presidency.  not all of it was bad but it was just bad representation my god.  why cant people start looking for another presidential candidate plsssssss.
312,بندر الصبري,Me vevo&soul
313,Rowan Beaumont,TIme to pack my bags and move to London
314,Courage Karnga,It was like watching two old folks fight over the damn remote! What is this?
315,Aditya N,"Joe's numbers are all over the place, and Trump has no plan... just freaking chaos..."
316,Victor Kurske,Why does Biden have such a hard time admitting that they're going to stack the Supreme Court? Does he think the media will finally start to criticize him?
317,PeterTV Show,请投票给乔·拜登！ 不要相信唐纳德·特朗普！ 特朗普是骗子，他是邪恶的..
318,Dragonclan,An epic waste of my time
319,Joelle,They need a talking stick
320,Jun W,Bullish!t
321,Patrick Orr,who else saw Colby ahhahahahahahah
322,Barb Elgin,https://www.wusa9.com/article/news/verify/verify-hunter-biden-payments-money-wife-moscow-mayor-millions-unproven/65-cdfa2401-b658-4afe-9f5c-f13a2b2505ce - djt lied
323,Anthony Ortiz,2 clowns
324,k k,this makes me wanna hit my head against a wall
325,Grindstone Universal,Beverly Hillbillies 2020
326,hej rey,sleepy joe
327,Virginia Caudill,"You, cant eliminate tax cuts"
328,kristin carmichael,Inane
329,Gnotyaf Achniuq,I literally have no idea who won this debate. I just know we all lost.
330,king 24,🇺🇲🇲🇽TRUMP2020🇲🇽🇺🇲   #whobuiltthecagesjoe #laptopfromhell #1994crimebill #hightaxjoe
331,Sungirl Slynnewood43,Voting for the restoration and correction of the current wrecking implosion of a unsuccessful attempt to imitate a Global market stimulator. The tan mahal is an atrocity; equivalent to the rhetoric of a stable market during his inflicting term
332,Mary Prefontaine,Your polls are so biased! 😡
333,hh hh,川普加油 打倒邪惡統治菁英 你是世界的偉人  人類的英雄 台灣人民都支持感謝你喔
334,BRANDON LUXXE,"I have a headache now, this was A lot"
335,kamal saeed,Ù⁷7
336,Louise Egenlauf,", and"
337,William Wilhite,"Ya, they got to see what a fool and a liar look like. Your boss did nothing about the virus. You can lose your smug lying little smile Goldie Locks."
338,Rhonda Washington,I don’t know what to call himSuch disrespect
339,John M. Castillo,Anyone else reminded of their dysfunctional family arguing while watching this?
340,Gonzag Vegas,"Кто из русских смотрит ставим лайк , лучшие стендаперы США"
341,eduardo matematico,nont bielie what thay said like tump hello after boters you si thim afterok
342,Asani,That thumbnail is trash lmao
343,True Yang,?know
344,amber moore,all of us are laughing at this and saying how entertaining it is- that fact alone makes it all the more disheartening. this is sad.
345,No U Turn,He said IF Hillary released the emails herself. U guys lieeeeeeee
346,Kyle Hyde,"Biden: ""Will you shut up man""
Me:  Whoa Jamal don't pull out the nine"
347,Ayoola Erinosho,hi
